Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
37,ACABTC,89149585.51443672,2025-02-12 00:53:00,5.905899999999999e-07,0.05265085370896827,2025-02-12 06:36:00,5.794199999999999e-07,0.051655052838774924,-1.1001067767439987,-0.020894376809630945,Long,Closed,37
38,ACABTC,49070498.54671811,2025-02-12 16:27:00,6.2062e-07,0.030454132808060308,2025-02-12 22:02:00,6.1938e-07,0.030393285389866267,-0.1216948363958534,-0.00399600399600375,Long,Closed,38
39,ACABTC,67646927.59279351,2025-02-13 00:10:00,6.306299999999999e-07,0.04266018194783783,2025-02-13 04:58:00,6.1938e-07,0.041899154012424444,-0.8455872713791783,-0.019821464250035295,Long,Closed,39
40,ACABTC,93020672.82284296,2025-02-13 08:07:00,6.2062e-07,0.05773048996730523,2025-02-13 08:24:00,6.0939e-07,0.05668586781151227,-1.1590385135793424,-0.02007671360897152,Long,Closed,40
41,ACABTC,67448661.24232079,2025-02-13 10:46:00,6.2062e-07,0.041859988140203086,2025-02-13 12:29:00,6.0939e-07,0.041102539674457865,-0.8404109935659209,-0.02007671360897147,Long,Closed,41
42,ACABTC,66648827.406252064,2025-02-13 19:08:00,6.106099999999999e-07,0.040696440502529185,2025-02-13 20:36:00,5.993999999999999e-07,0.03994930714730748,-0.8277791028739231,-0.020340331799348157,Long,Closed,42
43,ACABTC,78759918.01855989,2025-02-14 05:32:00,6.106099999999999e-07,0.048091593541307986,2025-02-14 06:34:00,5.993999999999999e-07,0.04720869486032479,-0.9781989693896889,-0.020340331799348087,Long,Closed,43
44,ACABTC,62840782.43027758,2025-02-14 08:43:00,6.106099999999999e-07,0.03837121015974532,2025-02-14 11:37:00,5.993999999999999e-07,0.03766676498870837,-0.780483146191864,-0.020340331799347994,Long,Closed,44
45,ACABTC,87613364.19108918,2025-02-14 13:05:00,6.106099999999999e-07,0.05349759630871631,2025-02-14 14:45:00,5.993999999999999e-07,0.05251545049613885,-1.0881588593869662,-0.020340331799348133,Long,Closed,45
46,ACABTC,50388900.02823663,2025-02-14 14:47:00,6.005999999999999e-07,0.03026357335695451,2025-02-14 17:19:00,6.0939e-07,0.030706491788207117,0.38194836610304056,0.012620729270729492,Long,Closed,46
47,ACABTC,57620883.44201657,2025-02-14 17:39:00,6.106099999999999e-07,0.035183887638524425,2025-02-14 17:58:00,6.0939e-07,0.03511359016073048,-0.1405949555985129,-0.003996003996003783,Long,Closed,47
48,ACABTC,57462854.984374195,2025-02-14 18:24:00,6.106099999999999e-07,0.03508739388200155,2025-02-14 18:28:00,6.0939e-07,0.03501728919892779,-0.1402093661618569,-0.003996003996003537,Long,Closed,48
49,ACABTC,71058395.55187117,2025-02-14 22:06:00,6.005999999999999e-07,0.04267767236844833,2025-02-15 08:42:00,5.993999999999999e-07,0.042592402293791576,-0.17054014932448025,-0.00399600399600375,Long,Closed,49
50,ACABTC,86335526.38929236,2025-02-15 12:11:00,6.106099999999999e-07,0.052717335768562634,2025-02-15 13:16:00,5.993999999999999e-07,0.05174951451774184,-1.072288101110264,-0.02034033179934799,Long,Closed,50
51,ACABTC,70273056.06735885,2025-02-15 13:33:00,6.106099999999999e-07,0.04290943076528464,2025-02-15 14:32:00,5.993999999999999e-07,0.04212166980677489,-0.8727920590871531,-0.02034033179934809,Long,Closed,51
52,ACABTC,80200072.73436864,2025-02-15 16:54:00,6.005999999999999e-07,0.04816816368425947,2025-02-15 17:36:00,5.794199999999999e-07,0.04646952614374787,-1.7932752303419357,-0.037229470529470496,Long,Closed,52
53,ACABTC,57301167.34406537,2025-02-15 19:40:00,5.905899999999999e-07,0.03384149642172929,2025-02-15 22:10:00,5.8941e-07,0.03377388104426556,-0.13523075493199285,-0.003996003996003954,Long,Closed,53
54,ACABTC,67675042.94811444,2025-02-15 22:44:00,5.905899999999999e-07,0.039968203614719755,2025-02-15 23:22:00,5.794199999999999e-07,0.039212273384996464,-0.8351107067301546,-0.020894376809630872,Long,Closed,54
